Timestamp,ConfigSig,ScoreType,Group,Year,Condition,Folds,Accuracy,AUC,TestEdges
2025-10-18 01:29:02,bd7d891378216f13,aware,batter,2024,,5,0.553171574627403,0.5135621710043959,41667
2025-10-18 01:29:02,bd7d891378216f13,aware,pitcher,2024,,5,0.6018503608496435,0.536981065207692,68311
2025-10-18 02:03:45,bd7d891378216f13,aware,batter,2024,,5,0.5378836969304246,0.5093176776365614,41667
2025-10-18 02:03:45,bd7d891378216f13,aware,pitcher,2024,,5,0.5053944459896649,0.5104487445474909,68311
2025-10-18 02:09:05,bd7d891378216f13,aware,batter,2024,,5,0.563203494372045,0.5160582886983531,41667
2025-10-18 02:09:05,bd7d891378216f13,aware,pitcher,2024,,5,0.620383247207624,0.5410960506253542,68311
2025-10-18 02:25:04,bd7d891378216f13,aware,batter,2024,,5,0.5320277437780497,0.5134026422928655,41667
2025-10-18 02:25:04,bd7d891378216f13,aware,pitcher,2024,,5,0.6067836805199748,0.5393912821937988,68311
2025-10-18 03:17:31,bd7d891378216f13,aware,batter,2024,,5,0.518155854753162,0.5087263090504968,41667
2025-10-18 03:17:31,bd7d891378216f13,aware,pitcher,2024,,5,0.6091991040974367,0.5382643356819174,68311
2025-10-18 03:17:31,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5198255245762162,0.4876208613288878,207690
2025-10-18 03:17:31,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5691517151872592,0.5058934036193359,340725
2025-10-18 03:49:49,bd7d891378216f13,aware,batter,2024,,5,0.5221158230734154,0.5064424687280881,41667
2025-10-18 03:49:49,bd7d891378216f13,aware,pitcher,2024,,5,0.6070471812738798,0.5368935477130409,68311
2025-10-18 03:49:49,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5544659059991914,0.507493308331078,206403
2025-10-18 03:49:49,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5707786210963888,0.5079497130217154,339900
2025-10-18 03:52:18,bd7d891378216f13,aware,batter,2024,,5,0.5188278493772049,0.5075765410148589,41667
2025-10-18 03:52:18,bd7d891378216f13,aware,pitcher,2024,,5,0.6094918827128867,0.5383786706793983,68311
2025-10-18 03:52:18,bd7d891378216f13,aware,batter,2024,oppblock,5,0.532554797312935,0.4982346066186937,207690
2025-10-18 03:52:18,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5696866272126668,0.5069317768114663,339900
2025-10-18 04:08:05,bd7d891378216f13,aware,batter,2024,,5,0.5184438524491805,0.5073389488483487,41667
2025-10-18 04:08:05,bd7d891378216f13,aware,pitcher,2024,,5,0.6073838766816472,0.5367649010182827,68311
2025-10-18 04:08:05,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5281360242904791,0.5105351671073091,206403
2025-10-18 04:08:05,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5689272157179757,0.50578559040327,340725
2025-10-18 04:09:02,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5386109135497181,0.5197575340240597,207690
2025-10-18 04:09:02,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5684996135472803,0.5055383504564658,340725
2025-10-18 04:34:36,bd7d891378216f13,aware,batter,2024,,5,0.5141958864329086,0.5034837941470707,41667
2025-10-18 04:34:36,bd7d891378216f13,aware,pitcher,2024,,5,0.6107801086208663,0.5401725321266633,68311
2025-10-18 04:34:36,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5316340765885997,0.4956820169499719,207690
2025-10-18 04:34:36,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5731831680252432,0.52483881400846,340725
2025-10-18 04:35:40,bd7d891378216f13,aware,batter,2024,,5,0.5232918136654907,0.5069078030427092,41667
2025-10-18 04:35:40,bd7d891378216f13,aware,pitcher,2024,,5,0.6127417253443809,0.5407222496822509,68311
2025-10-18 04:35:40,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5242948409500726,0.486480421007187,207690
2025-10-18 04:35:40,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5699280748619296,0.5074989477289293,340725
2025-10-18 04:44:01,bd7d891378216f13,aware,batter,2024,,5,0.5172438620491036,0.5043575583427876,41667
2025-10-18 04:44:01,bd7d891378216f13,aware,pitcher,2024,,5,0.6088184918973518,0.5398664858752251,68311
2025-10-18 04:44:01,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5259271917632301,0.505905530522349,207690
2025-10-18 04:44:01,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.568580096526801,0.5077478113334497,340725
2025-10-18 05:36:55,bd7d891378216f13,aware,batter,2024,,5,0.5591955264357885,0.5163998420174781,41667
2025-10-18 05:36:55,bd7d891378216f13,aware,pitcher,2024,,5,0.6147911756525304,0.5416013375013149,68311
2025-10-18 05:36:55,bd7d891378216f13,aware,batter,2024,oppblock,5,0.5302759305871981,0.5154804118503703,207690
2025-10-18 05:36:55,bd7d891378216f13,aware,pitcher,2024,oppblock,5,0.5677554171057334,0.5058058864562579,340725
